№ анкеты,"1) Оцените, в какой мере оправдались Ваши ожидания, связанные с выбором образовательной программы",2) Оцените достаточность полученных теоретических знаний и приобретенных умений и навыков для осуществления эффективной профессиональной деятельности,"3) Оцените соответствие целей, результатов обучения по ОП содержанию ОП (подбор дисциплин, кол-во кредитов, методы обучения, процедуры оценивания и т.п)","4) Оцените качество профессорско-преподавательского состава (знания и квалификация ППС, педагогические качества, объективность оценивания и др.)","5) Оцените качество материально-технической ресурсов необходимой для реализации ОП (здания и сооружения, состояние аудиторного фонда, обеспеченность лабораторным оборудованием и т.д.)","6) Оцените наличие, качество и достаточность учебной и учебно-методической литературы по дисциплинам ОП (учебников, учебно-методических пособий, методических рекомендаций по выполнению заданий СРО, курсовых и дипломных работ и т.д.)","7) Оцените удовлетворенность электронной информационно-образовательной средой (широкополосного доступа в Интернет, системами Moodle, Platonus, электронной библиотеки и др.)","8) Оцените качество организации, проведения и содержание профессиональных практик","9) Как Вы считаете, на сколько соответствуют знания, умения и навыки, полученные обучающимися при освоении образовательной программы, оценке, полученной на итоговой аттестации (при защите дипломной работы / комплексного экзамена)","Ваши пожелания и предложения
",Язык,Длина,Тональность_класс
1,9,10,10,10,9,10,10,10,8,"чувствуется опыт и вовлеченность преподавателей. в целом курс мотивирует и втягивает, кстати примеры привязаны к реальным процессам.",ru,long,positive
2,10,6,10,8,7,7,7,9,7,"поддерживают на консультациях, комментарии приходят оперативно, в целом кеңестер уақтылы, қолдау бар!",mixed,medium,positive
3,9,7,8,6,7,6,10,8,9,"процессы выстроены, вопросов почти нет, стоит подумать усилить практику и разбор кейсов.",ru,medium,positive
4,8,9,10,10,10,10,10,10,10,"поддерживают на консультациях, комментарии приходят вовремя. программа выглядит нового уровня, неплохо бы усилить практику и разбор кейсов.",ru,long,positive
5,9,10,10,8,8,9,9,10,8,"формат практики удобный, задачи разобраны ясно, в целом проекты и задачи помогают закреплять.",ru,medium,positive
6,5,6,6,7,5,5,8,6,5,"оқытушылардың тәсілдері әртүрлі, жалпы айқын, в целом подходы разнятся, но в целом понятно.",mixed,medium,neutral
7,10,8,8,6,8,8,9,7,8,"практика ыңғайлы форматта, тапсырмалар нақты, жалпы формат практики удобный, задачи разобраны структурно!",mixed,medium,positive
8,9,10,9,10,10,9,10,10,10,"стажировки и проекты помогают закреплять темы. формат практики удобный, задачи разобраны логично, в итоге проекты и задачи помогают закреплять.",ru,long,positive
9,4,6,4,5,8,7,6,4,4,"жалпы қалыпты, жақсы болар еді практиканы және мысалдарды күшейту",kz,medium,neutral
10,6,8,7,9,7,7,9,7,10,"ерекше ескертулер жоқ. жалпы қалыпты, сонымен қатар жобалар пайдалы, қалағаным практиканы және мысалдарды күшейту, сонымен қатар кеңес алу оңай",kz,long,neutral
11,6,4,7,4,6,7,6,7,7,материалы размещают в срок иногда с…,ru,short,neutral
12,3,1,1,2,2,3,5,1,1,"ұйымдастыруда кідірістер кездеседі, қоса мысалдар нақты жағдайлардан.",kz,medium,negative
13,10,10,8,9,10,10,10,9,8,"на практике даются задачи из практики, контекст рынка ощущается.",ru,medium,positive
14,10,10,8,9,10,9,8,7,9,"процессы выстроены, вопросов почти нет. учиться комфортно, впечатления положительные, вообще проекты и задачи помогают закреплять.",ru,long,positive
15,6,3,5,4,6,6,5,3,6,"без серьёзных замечаний. в целом всё нормально, в итоге примеры привязаны к реальным процессам, кстати проекты и задачи помогают закреплять",ru,long,neutral
16,10,10,9,9,10,9,9,8,10,"на практике даются ситуации, связь с отраслью ощущается, жалпы практика ыңғайлы форматта, тапсырмалар түсінікті, при этом түсінікті/понятно талқылаймыз.",mixed,long,positive
17,7,8,6,7,9,9,10,7,7,"преподаватели отзывчивые, отвечают вовремя.",ru,short,positive
18,4,6,6,5,5,3,6,5,7,"без серьёзных замечаний, кроме того проекты и задачи помогают закреплять…",ru,medium,neutral
19,2,1,2,3,1,3,1,4,1,"инструмента не хватает в лабораториях, по факту проекты и задачи помогают закреплять.",ru,medium,negative
20,8,7,10,8,8,8,8,7,7,"кесте тұрақты, байланыс айқын. хабарламалар дер уақытында, логистика түсінікті, күшейтсе жақсы практиканы және мысалдарды күшейту!",kz,long,positive
21,7,9,7,9,7,7,9,8,6,"практика ыңғайлы форматта, тапсырмалар айқын, айтпақшы кеңес алу оңай.",kz,medium,positive
22,3,2,3,6,5,4,4,3,3,"құралдар ескі, қайта қарау керек, кейде оборудование местами устарело для текущих задач…",mixed,medium,negative
23,6,5,8,6,6,6,7,5,5,жалпы қалыпты қоса в целом всё,mixed,short,neutral
24,3,3,2,2,3,1,1,2,1,"материалы местами неактуальны, мало задачи из практики, в целом материалдар кедей, мысалдар аз.",mixed,medium,negative
25,8,9,9,10,10,7,10,10,10,кесте тұрақты кері байланыс айқын кейде.,mixed,short,positive
26,7,9,8,7,8,10,9,7,10,"поддерживают на консультациях, комментарии приходят вовремя, в целом консультации доступны по расписанию.",ru,medium,positive
27,9,9,9,9,10,10,8,9,9,"объясняют доходчиво, делятся опытом и лайфхаками, стоит подумать усилить практику и разбор кейсов!",ru,medium,positive
28,2,1,3,2,1,3,3,2,3,"лабораторные редки, время использования короткое, вдобавок примеры привязаны к реальным процессам.",ru,medium,negative
29,3,2,2,3,3,4,4,2,4,"переносы сообщаются поздно, в целом ұйымдастыруда кідірістер кездеседі, при этом түсінікті/понятно талқылаймыз, можно усилить практика/жабдықтар бойынша күшейту.",mixed,long,negative
30,8,8,8,9,9,8,7,10,9,"на практике даются задачи из практики, контекст рынка ощущается. на практике даются ситуации, контекст рынка ощущается!",ru,long,positive
31,4,6,6,5,5,4,6,5,4,"кейсы встречаются, но без излишеств, вообще консультации доступны по расписанию…",ru,medium,neutral
32,3,2,2,1,2,1,1,4,2,часть техники требует пересмотреть.,ru,short,negative
33,9,8,9,9,10,10,8,9,10,"жобалар мен стажировкалар тақырыптарды бекітеді, сонымен қатар мысалдар нақты жағдайлардан.",kz,medium,positive
34,10,10,9,10,9,9,10,10,10,"тәжірибесімен бөліседі, кеңес береді, жалпы алғанда жобалар пайдалы.",kz,medium,positive
35,8,10,9,7,10,8,9,10,8,"формат практики удобный, задачи разобраны понятно, по факту проекты и задачи помогают закреплять.",ru,medium,positive
36,6,5,6,6,5,6,5,8,4,"оборудование обычное, без особенностей. в целом всё нормально, имеет смысл усилить практику и разбор кейсов",ru,long,neutral
37,5,5,4,2,4,4,4,1,4,"ерекше ескертулер жоқ, айтпақшы рабочая учебная рутина, было бы полезно практика/жабдықтар бойынша күшейту, күшейтсе жақсы практика/жабдықтар бойынша күшейту…",mixed,long,neutral
38,9,10,10,10,10,10,10,9,10,"оқытушылар жедел жауап береді, түсіндіру айқын.",kz,short,positive
39,7,7,9,8,10,8,10,9,8,"презентациялар мен мысалдар уақытында беріледі, жалпы алғанда жобалар пайдалы.",kz,medium,positive
40,10,10,10,10,10,8,8,10,10,"тәжірибесімен бөліседі, кеңес береді, дұрыс болар практиканы және мысалдарды күшейту!",kz,medium,positive
41,10,8,10,9,10,10,9,9,9,"бағдарлама актуалды көрінеді, қоса программа выглядит современно.",mixed,medium,positive
42,9,10,8,10,6,7,9,7,7,"материалдар ретке келтірілген, электронды қолжетімділік ыңғайлы.",kz,short,positive
43,10,8,10,9,10,7,9,7,9,"объясняют понятно, делятся опытом и лайфхаками.",ru,short,positive
44,8,9,8,8,7,8,10,9,8,"поддерживают на консультациях, комментарии приходят вовремя.",ru,short,positive
45,9,8,7,9,9,9,7,8,8,"презентациялар мен мысалдар дер уақытында беріледі, жалпы презентации и примеры даются оперативно.",mixed,medium,positive
46,7,7,6,5,6,5,7,9,6,"материалдар уақытында жүктеледі, кейде кешігеді",kz,short,neutral
47,6,5,7,5,6,5,5,5,5,"практика есть, формат привычный, кроме того консультации доступны по расписанию",ru,medium,neutral
48,2,1,2,4,3,3,2,2,1,на уведомления не всегда быстро реагируют.,ru,short,negative
49,1,1,1,3,2,3,2,1,2,"на уведомления не всегда быстро реагируют. в расписании случаются накладки, вообще примеры привязаны к реальным процессам.",ru,long,negative
50,9,6,10,8,7,7,8,8,7,"уведомления приходят без задержек, логистика понятная, имеет смысл усилить практику и разбор кейсов.",ru,medium,positive
51,5,7,3,7,5,8,7,6,6,"коммуникация в целом нормальная, кроме того консультации доступны по расписанию…",ru,medium,neutral
52,4,4,4,3,6,4,5,3,5,"лабораторные идут по графику, в целом проекты и задачи помогают закреплять",ru,medium,neutral
53,5,5,5,6,5,5,5,5,7,"кейсы встречаются, но без излишеств, кстати консультации доступны по расписанию.",ru,medium,neutral
54,7,8,9,9,8,8,9,8,8,"поддерживают на консультациях, комментарии приходят вовремя. в целом курс мотивирует и втягивает, замечу проекты и задачи помогают закреплять.",ru,long,positive
55,8,8,10,9,7,9,7,8,9,презентациялар мен мысалдар уақытында беріледі.,kz,short,positive
56,10,7,8,8,8,7,9,9,8,"поддерживают на консультациях, комментарии приходят вовремя. в целом курс мотивирует и втягивает, по факту проекты и задачи помогают закреплять.",ru,long,positive
